perturbation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
TRIM28,0.0071840314,0.012742441,0.42437223,0.010391794,0.013757828,0.014302554,0.016368413,0.026949376,0.014598337,0.015914254,0.016625397,0.016490983,0.01744676,0.024115583,0.013604644,0.019578803,0.019786121,0.01694511,0.01491455,0.01683103,0.012463949,0.018383294,0.012040949,0.014287072,0.02013815,0.014166639,0.018995557,0.015616465,0.09420617,0.014662099,0.01457633,0.01754311
TSC22D1,0.417317,0.019553864,0.020145897,0.018331217,0.013398511,0.01794822,0.017125621,0.016081454,0.017135788,0.01723146,0.015659126,0.016996609,0.0794185,0.018110685,0.018519402,0.01496215,0.01291121,0.018415917,0.018573312,0.016579788,0.015008564,0.01774829,0.00864471,0.018108409,0.01759778,0.017729647,0.011975974,0.01870258,0.017065937,0.018567108,0.020116128,0.014319125
TSHZ1,0.025700118,0.031075438,0.023188522,0.03058055,0.027813168,0.024169214,0.030806104,0.03031636,0.03327758,0.027299704,0.025327237,0.035240684,0.029247958,0.052487303,0.030510362,0.02702597,0.039408896,0.037673946,0.030381776,0.037768435,0.023109797,0.027747909,0.04339978,0.02648529,0.034124773,0.0335236,0.024083795,0.03458876,0.032144275,0.027670441,0.03586207,0.02796011
TWIST2,0.035988014,0.026222318,0.028160723,0.02841465,0.027645262,0.03333299,0.033075944,0.03913828,0.03655303,0.03150864,0.033999033,0.035595343,0.024571452,0.032546617,0.038842198,0.032367703,0.031423792,0.026984029,0.025280053,0.030201428,0.035585772,0.03215242,0.034731794,0.030760892,0.030147038,0.023590347,0.032403547,0.029687613,0.031089691,0.030738305,0.030040558,0.027220555
VENTX,0.019845223,0.032386176,0.031888667,0.035947476,0.033463586,0.029194763,0.025199344,0.03989499,0.029514674,0.033843428,0.029275548,0.034773514,0.02644579,0.03176189,0.017681947,0.034003608,0.029700061,0.0341624,0.03467396,0.032319847,0.03581896,0.03375835,0.018666033,0.03211834,0.034122944,0.029954461,0.03617221,0.034131013,0.029419249,0.034016933,0.03226646,0.033578154
YAP1,0.021805938,0.04337306,0.02832346,0.024843493,0.02653931,0.030707886,0.033096943,0.03147343,0.027994797,0.025481243,0.029235512,0.030953111,0.037286345,0.06979867,0.03915682,0.03580164,0.02323567,0.024383405,0.03819767,0.03923453,0.026652362,0.028854158,0.030228347,0.025049917,0.029910652,0.026168464,0.030893756,0.030089492,0.026565786,0.030424759,0.028596975,0.025642417
YBX1,0.00091217796,0.001154903,0.001067554,0.001563364,0.0010879469,0.00077619415,0.047434106,0.17969535,0.03992077,0.0009831109,0.0009565907,0.040382713,0.0006461072,0.00072538573,0.0010492244,0.0010272254,0.001093756,0.0007670292,0.0009549325,0.0010594939,0.000803546,0.07404632,0.0008761839,0.00086938095,0.15821968,0.0009593698,0.43651673,0.0009849634,0.0008777119,0.0010029325,0.0007786044,0.000806602
YBX3,0.0527734,0.0009946726,0.42782202,0.0009957766,0.18206613,0.09933914,0.00085431867,0.20277153,0.000956169,0.0010221454,0.0011045302,0.0009467282,0.00089078624,0.00091547007,0.0009930023,0.0009634847,0.00088940415,0.0008972229,0.0010746121,0.0010812677,0.000756617,0.0011179242,0.0009567976,0.009859576,0.0011757417,0.0013441002,0.0009849396,0.0009586429,0.00086216326,0.00083205395,0.0008475267,0.0009520874
YWHAZ,0.009406767,0.041480377,0.015723297,0.021223946,0.022550395,0.017403703,0.018729482,0.2164709,0.01856859,0.019288661,0.07899872,0.01682297,0.023677234,0.04790851,0.021476058,0.027103307,0.021285046,0.041243475,0.025139978,0.023187073,0.01867038,0.025402753,0.023679577,0.023406958,0.021473078,0.023405595,0.025076743,0.021676391,0.019663587,0.022305513,0.021967152,0.025583772
ZBTB7A,0.035207167,0.028451227,0.03561705,0.03408836,0.025700351,0.023830656,0.03682184,0.027628597,0.035136607,0.025904475,0.024383819,0.024575341,0.030973999,0.048658103,0.024712129,0.035734683,0.043460783,0.024802206,0.02281027,0.031702884,0.027499054,0.02813494,0.027672043,0.023903042,0.04077413,0.026631048,0.024966378,0.033300795,0.025439985,0.050813884,0.029567383,0.041096766
