perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
GFI1,0.17500842984308815,-0.02332910554744731,0.15790079739233404,"(128, 64, 32)",0.01,0.0001
GLI1,0.2026671762343304,0.02553384007643902,0.2297728667747692,"(128, 64, 32)",0.01,0.0001
GLIS3,0.17388908257008912,0.008505594737028794,0.18197437055100774,"(128, 64, 32)",0.01,0.0001
GSC,0.20441157262453444,0.013513385789948634,0.20778089896095783,"(128, 64, 32)",0.01,0.0001
GSX2,0.19300639661516045,0.03543428366032351,0.19380093000729032,"(128, 64, 32)",0.01,0.0001
GTF2B,0.17260686144885082,0.051199931970501475,0.18220674967143685,"(128, 64, 32)",0.01,0.0001
HAND1,0.15284000823080182,0.07969393538632873,0.22778831701946486,"(128, 64, 32)",0.01,0.0001
HELZ2,0.23182359648028603,0.18120643150153742,0.2506966761073953,"(128, 64, 32)",0.01,0.0001
HES4,0.16749032045134846,0.02292243170687081,0.24766824453285136,"(128, 64, 32)",0.01,0.0001
HES5,0.11827751696395518,-0.019501517397066306,0.11935146077774797,"(32,)",0.001,0.001
HES7,0.4032994078638278,0.07870624168560379,0.3511404175641933,"(128, 64, 32)",0.01,0.0001
HHEX,0.22342721399928384,-0.03605798398463693,0.2346465868386019,"(64,)",0.001,0.001
HIC1,0.15346908283964283,0.03586053748041712,0.15588479315815604,"(128, 64, 32)",0.01,0.0001
HIVEP1,0.1705774907158642,0.008464605389480368,0.17177905143948627,"(128, 64, 32)",0.01,0.0001
HMGA1,0.2009222617222406,-0.0011729432458894688,0.2145767345194376,"(128, 64, 32)",0.01,0.0001
HMGN2,0.18148309416333155,0.055844862610322475,0.19669800801177023,"(128, 64, 32)",0.01,0.0001
HMX3,0.19212610401669739,0.04296836840548044,0.20653469005337222,"(128, 64, 32)",0.01,0.0001
HNF1B,0.3132561521491721,-0.003814900569834128,0.3302104320617283,"(128, 64, 32)",0.01,0.0001
HNRNPAB,0.478306710079083,-0.03359995823810756,0.4798789034424245,"(128, 64, 32)",0.001,0.0001
HOXA13,0.26945800254998625,0.05884614677925979,0.31239897492875346,"(128, 64, 32)",0.001,0.0001
HOXC9,0.20233645219293642,-0.022262711383529754,0.22334652020188933,"(128, 64, 32)",0.01,0.0001
HOXC13,0.2856044906453325,0.03230541564441963,0.2857382447139801,"(128, 64, 32)",0.01,0.0001
IFI16,0.1438419304484923,-0.0026112033061963793,0.168023652461615,"(128, 64, 32)",0.01,0.0001
IKZF2,0.17221099499724699,0.012430343025775448,0.17986911367104144,"(128, 64, 32)",0.01,0.0001
IKZF5,0.23612692063952076,-0.016038269343810287,0.24227743800531898,"(128, 64, 32)",0.01,0.0001
INSM2,0.2070054237999071,0.047995862096252985,0.2265833292085387,"(128, 64, 32)",0.01,0.0001
IRF1,0.23627317096503095,0.013274990735017384,0.22705481011778725,"(128, 64, 32)",0.01,0.0001
IRF4,0.1982264637294106,-0.005397749993698041,0.21254049275881687,"(64,)",0.001,0.001
IRX3,0.17417189222604945,0.02557588088019312,0.17916742264036928,"(128, 64, 32)",0.01,0.0001
JDP2,0.14131636487562682,0.033293151843538454,0.16788366659221277,"(32,)",0.001,0.001
JUN,0.15928070067906994,0.04153671289560141,0.16190807634465043,"(64,)",0.001,0.001
JUNB,0.28503770797300976,-0.02524470350239676,0.30065994758179226,"(128, 64, 32)",0.01,0.0001
KLF2,0.19191855425855617,0.05538830354440411,0.19992547907794433,"(128, 64, 32)",0.01,0.0001
KLF3,0.1365229589283813,0.015475385535219767,0.14928835563914017,"(64,)",0.001,0.001
KLF5,0.16258692213831338,0.052056270144898165,0.1799952763827249,"(64,)",0.001,0.001
KLF8,0.11755499925269931,-0.022007764158668928,0.1299248650539067,"(32,)",0.001,0.001
KLF15,0.14308088619863338,0.04240195937118314,0.14771499094066864,"(32,)",0.001,0.001
KLF16,0.12739399886272518,0.06659467414367169,0.14199667933335985,"(32,)",0.001,0.001
LBX1,0.23509457689592428,0.006757777560438473,0.24028400822286336,"(64,)",0.001,0.001
LHX2,0.13411466898247,0.018600907618689936,0.13118976242587482,"(32,)",0.001,0.001
LHX4,0.14633610009185646,0.012863834837346563,0.14490683644167623,"(32,)",0.001,0.001
