perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
GATA6,0.2719026846590043,0.07297588250752485,0.24269212579444085,"(128, 64, 32)",0.01,0.0001
GFI1,0.1625507326048733,0.058436983100215924,0.16129769635155347,"(128, 64, 32)",0.01,0.0001
GLI1,0.22791118962645926,0.06994736419850663,0.21533543211736023,"(128, 64, 32)",0.01,0.0001
GLIS3,0.18343113216752682,0.11128283422522631,0.17398954332624336,"(128, 64, 32)",0.01,0.0001
GSC,0.21414207923786657,-0.0065400754501608,0.20479998592048893,"(128, 64, 32)",0.01,0.0001
GSX2,0.19769890210157137,0.03147247272685952,0.19164965487633934,"(128, 64, 32)",0.01,0.0001
GTF2B,0.17068341370910392,0.03132454883322449,0.18489038803940047,"(128, 64, 32)",0.01,0.0001
HAND1,0.17127987810592257,0.08734581409926778,0.22351960848893473,"(128, 64, 32)",0.01,0.0001
HELZ2,0.23626774052862992,0.25671015882564896,0.24278200086220916,"(128, 64, 32)",0.01,0.0001
HES4,0.165214842840236,0.04127935753918067,0.24628601400851918,"(128, 64, 32)",0.01,0.0001
HES5,0.11576191537559008,0.044066618754762456,0.12129014044763904,"(32,)",0.001,0.001
HES7,0.3845308756640935,0.1174664771522679,0.35386406655903235,"(128, 64, 32)",0.01,0.0001
HHEX,0.2296962198468856,0.10985168370887445,0.22636887673977718,"(128, 64, 32)",0.01,0.0001
HIC1,0.15044667113945465,0.05312980293530523,0.1566429671515781,"(128, 64, 32)",0.01,0.0001
HIVEP1,0.16886388927248,0.10532951079542761,0.16851274967129615,"(128, 64, 32)",0.01,0.0001
HMGA1,0.20057925941286922,0.031658162870245365,0.21140025744835972,"(128, 64, 32)",0.01,0.0001
HMGN2,0.18499880223663792,0.08737919391176542,0.19608057940469512,"(128, 64, 32)",0.01,0.0001
HMX3,0.21378016205100464,0.06283320845780085,0.19813272694619039,"(128, 64, 32)",0.01,0.0001
HNF1B,0.31903311583119864,0.00043431373662560006,0.32894430688635845,"(128, 64, 32)",0.01,0.0001
HNRNPAB,0.47313745682314934,0.07449018243383808,0.4768038597600306,"(128, 64, 32)",0.01,0.0001
HOXA13,0.31046534837587914,0.0457787868024901,0.3030694996424262,"(128, 64, 32)",0.01,0.0001
HOXC9,0.2186937622776351,0.045930402827815936,0.21653491106933073,"(128, 64, 32)",0.01,0.0001
HOXC13,0.2904968806625829,0.0022694917888220075,0.2853495054056882,"(128, 64, 32)",0.01,0.0001
IFI16,0.14295733113771633,0.05920684444187784,0.1684858150769749,"(128, 64, 32)",0.01,0.0001
IKZF2,0.17488697219457658,0.0013341591411842545,0.17738675120040753,"(128, 64, 32)",0.01,0.0001
IKZF5,0.24782847823333087,0.027972141587204253,0.23753896325753004,"(128, 64, 32)",0.01,0.0001
INSM2,0.2235967822847385,0.055313772214201286,0.2204126275513703,"(128, 64, 32)",0.01,0.0001
IRF1,0.24869370006067867,0.3360974829304506,0.22348377363812544,"(128, 64, 32)",0.01,0.0001
IRF4,0.20127325489135917,0.08657952110313324,0.20950014547651147,"(128, 64, 32)",0.01,0.0001
IRX3,0.1751235084234038,0.03500467955764346,0.1799812043358165,"(128, 64, 32)",0.01,0.0001
JDP2,0.15911392902294486,0.027717801642958777,0.16479140866634356,"(128, 64, 32)",0.01,0.0001
JUN,0.16395555383673818,0.08208597976195442,0.15930661425285525,"(32,)",0.001,0.001
JUNB,0.2989023781978822,0.04605860169427651,0.29573061536806233,"(128, 64, 32)",0.01,0.0001
KLF2,0.19041722579302373,0.09749952291045252,0.19681960621096,"(128, 64, 32)",0.01,0.0001
KLF3,0.1500132668340003,0.09652758759770555,0.14123620936880582,"(128, 64, 32)",0.01,0.0001
KLF5,0.16833943374234697,0.037756462028528164,0.17674376821131293,"(128, 64, 32)",0.01,0.0001
KLF8,0.1251613882423314,0.14254235633678944,0.12339602600977743,"(32,)",0.001,0.001
KLF15,0.14615526621605723,-0.0006748124135028634,0.1493876813452369,"(32,)",0.001,0.001
KLF16,0.13937937127235647,0.061386858713756653,0.1394009023155939,"(32,)",0.001,0.001
LBX1,0.23340610444316426,0.06330818734242478,0.23618136514011442,"(128, 64, 32)",0.01,0.0001
