perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
MLXIP,,,0.0888934951121509,0.130477807021981
MMP3,,,0.112539477753594,0.112539477753594
MNX1,0.103113838163479,,0.0629422460477671,0.135604958353832
MXI1,0.315511114809607,0.303454746865837,0.0373646952680565,0.0804997956679712
MYBL1,0.193139884931596,0.173450383205981,0.0483124145670429,0.0709129267185594
MYC,0.446630260313345,0.426987843892867,0.0373375717479787,0.0804413598153998
MYCN,0.289255804783432,0.262943541503091,0.0458429222711996,0.0672882077353222
MYOD1,0.0451790269462933,,0.0768464675053582,0.112795188723708
MYRF,,,0.118000144813749,0.118000144813749
NCOA3,0.0991451859132236,,0.0774428487116149,0.166845559759194
NEUROD1,0.243467816539744,0.227411463246624,0.0605290591795468,0.191409691634491
NEUROD2,0.153044604441198,,0.0770052061240498,0.165902687386709
NFATC1,,,0.147919141053731,0.147919141053731
NFE2,0.10680176513339,,0.0689812447729048,0.148615586700327
NFE2L2,0.149238553256075,,0.0521407117474947,0.242015745423794
NFKBIA,,,0.0932175067553487,0.0932175067553487
NHP2,,,0.100911685656615,0.100911685656615
NKX1-2,,,0.0647755839495723,0.139554765128031
NKX3-1,0.215440451361447,0.158592812902364,0.0601809702036826,0.129655969886589
NKX3-2,0.0849386348811752,,0.0627450362968232,0.135180082825186
NKX6-2,0.0853403679792718,,0.0691779495519706,0.149039374300041
NME2,,,0.121812396860996,0.121812396860996
NOTO,0.071891191264993,0.0758214781235596,0.0476757738122881,0.150764034457839
NR2F2,0.133596258397051,,0.0552208305219525,0.174623598735515
NR4A1,,,0.0939513565219761,0.137901732295057
NR4A3,,,0.0997262508863034,0.0997262508863034
NSD2,0.1264710437911,,0.0757722541408367,0.163246372862931
ONECUT3,0.202257088717044,0.191136560393531,0.0572006606617316,0.265501947802767
OSR1,,,0.112726751695188,0.112726751695188
OSR2,0.0521823186915262,,0.0942387768481765,0.138323607639353
OVOL1,0.163708172094022,0.146435417824369,0.0535088706552183,0.115281367164031
OVOL2,0.148756623171209,,0.0677075885438348,0.145871577537243
PARP1,,,0.10739405593176,0.10739405593176
PAX2,0.149899735258959,,0.0752174112102086,0.162051000005667
PAX3,,,0.112284023800004,0.112284023800004
PAX5,0.168757342664794,,0.0540539296593736,0.17093353420615
PDX1,0.0392778766765233,,0.10319464041544,0.151469017624305
PHOX2A,0.119566913763923,,0.0574761736772543,0.181755620011539
PITX1,0.0302913597949745,,0.0811993226101893,0.119184306258644
PLAG1,0.0932934048100099,,0.0799285002046057,0.172200733563023
PLAGL1,,,0.0619176807079005,0.0908827263959136
POU4F2,,,0.0916565027368442,0.13453334758994
PPARGC1A,0.233837049309678,0.200148266401211,0.0447267287111126,0.141438335015563
PRDM1,0.218551821152672,0.200509491391308,0.0654208627948441,0.096024694497476
PRDM16,,,0.115892257903642,0.115892257903642
PROX1,0.072271050154476,,0.064080215819688,0.138056639906666
PRRX2,0.0621399248240815,,0.0572937617849413,0.123435667911901
PSAP,,,0.0928098997737507,0.0928098997737507
PTF1A,,,0.0886671752719971,0.130145614926355
RBMS1,0.126214600844963,0.11535034011826,0.0595178994075861,0.188212123676759
RBPJ,,,0.111098358022943,0.111098358022943
RERE,,,0.0742609159124713,0.109000117989269
REXO1,0.0379910351301143,,0.0887800975222997,0.130311362122648
RREB1,0.153558846994329,0.11980764401642,0.0764607553277037,0.164729703704045
RUNX1,,,0.0814074361342741,0.119489775136878
RUNX2,,,0.125106413817832,0.125106413817832
SALL1,,,0.120021515964213,0.120021515964213
SALL3,0.13348277546598,,0.0761968421044933,0.164161119900802
SATB2,,,0.105945035898485,0.155506046099991
SIX4,,,0.103648424563283,0.103648424563283
SMAD1,0.14484459707006,,0.0632590650739109,0.200042728286366
SMAD5,0.153653179676349,0.140748748320359,0.0644253641641735,0.203730889844578
SMAD6,0.172859689833176,0.14379574425887,0.0478794648602422,0.151408162108361
SMARCA1,,,0.113497721015225,0.113497721015225
SMARCA2,,,0.117936521071777,0.117936521071777
SNAI1,0.125897962423159,,0.0573867473100238,0.181472829008216
SOX8,0.063803116258665,,0.0869127438101546,0.127570461711569
SOX9,,,0.0829433173822856,0.178695960274721
SOX11,0.0678560325961235,,0.0682996614796583,0.14714716000921
SOX12,0.0991606698802863,,0.0823330501700092,0.120848390740631
SOX13,,,0.0873495553438059,0.128211613360752
SOX15,0.0887505239639045,0.100214300457344,0.0459658885069537,0.14535690235533
SOX17,,,0.119473455361487,0.119473455361487
SOX18,0.103842470863648,,0.0976419569104648,0.210363219170504
SP3,,,0.122746362912256,0.122746362912256
SRF,,,0.0820596365726338,0.120447074462645
STAT2,0.177286078018227,0.172048052743338,0.071578106698782,0.15421035611866
SUZ12,0.120861748240494,,0.0682513771927974,0.215829805372509
TBX3,0.105308734458616,,0.0824213474091074,0.120977993363512
TBX5,0.114533431424665,,0.0548100600987883,0.173324628602885
TBX18,,,0.0837336183932641,0.122904143752979
TBX20,0.201785164679653,,0.057682508030403,0.182408106527027
TBX21,0.0512105796949468,,0.0923607686925314,0.135567068643909
TCF7L1,,,0.121888239171884,0.121888239171884
TEAD3,0.184365238786249,0.19207591413627,0.0501014709412311,0.107940347017413
TFAP2A,0.0712936668729491,,0.0956090724563025,0.140334926529386
TFAP2C,,,0.107007852138144,0.107007852138144
TFAP2E,,,0.124376915186348,0.124376915186348
TFCP2L1,,,0.125954117550592,0.125954117550592
TGIF1,,,0.1162781201143,0.1162781201143
THRA,0.194375423204385,0.14118083457703,0.0603038131975182,0.279905505961872
TLX1,0.115014349903468,,0.0722305225135836,0.228412967726995
TONSL,,,0.120630127726284,0.120630127726284
TOX,,,0.0903730697549028,0.132649525599005
TP73,,,0.0876921328846399,0.128714448424292
TRIM22,,,0.0997732800934904,0.0997732800934904
TRIM24,0.0871367838248713,,0.0778460733213927,0.167714280846374
TRIM28,0.162798949498126,,0.0827847520903354,0.261788372137845
TSC22D1,,,0.0796177297805389,0.116862845461607
TSHZ1,0.0518420223063673,,0.089427076612823,0.131260997557884
TWIST2,,,0.0920832675280706,0.135159752637949
VENTX,,,0.0931622162702032,0.136743432811453
YAP1,0.241669190421311,0.206716475825781,0.06020412503949,0.129705855468094
YBX1,,,0.109836586687308,0.109836586687308
YBX3,,,0.113743674491343,0.113743674491343
YWHAZ,0.19879834936728,,0.05093069534045,0.236399346780367
ZBTB7A,,,0.0842642968164241,0.181541924192447
ZBTB10,0.076449063787834,,0.0831126343058833,0.179060742528529
ZBTB18,,,0.116077099526581,0.116077099526581
ZBTB37,,,0.0687928112841417,0.148209619055372
ZBTB42,0.0736459946890447,,0.0817702585695961,0.12002232564172
ZEB2,0.111557037958294,,0.0770235587127458,0.165942226840447
ZFP36L2,,,0.121081744461819,0.121081744461819
ZFPM2,0.084609951756638,,0.103251507250526,0.151552486723197
ZIC2,,,0.107339654538224,0.107339654538224
ZNF136,0.0713075535141576,,0.104839670947269,0.153883592234141
ZNF286B,0.125729284841821,,0.0689825392396405,0.148618375544367
ZNF296,0.273430168512995,0.250390658930025,0.0406332826830675,0.0875417537822725
ZNF618,0.154263954061689,,0.0597628289332013,0.0597628289332013
ZNF777,0.0894449530868004,,0.0604216118770806,0.130174416655625
ZNF827,0.103571131568536,,0.064297516610261,0.138524800268048
